channel_id,name,customurl,published_date,thumbnail_url,description,country,keywords,topic,created_at,active
UCr90FXGOO8nAE9B6FAUeTNA,MASA,@masacooking,2010-09-24 13:25:56,https://yt3.ggpht.com/ytc/AIf8zZR4_0Jro_k9FkQmL47AM14cihMqJ65lvwX4YJuxZfQ=s800-c-k-c0x00ffffff-no-rj,"您好!! 我是MASA! 我是日本人. 
我是宅男廚師…(*￣∇￣*).
以前在日本，法國料理餐廳的廚師，後來去加拿大開始
學英文跟商業管理後，經營餐廳。現在搬到台灣。
指導料理，顧問餐廳。住在國外，總共已經有25年以上 。
發現，不管那國人，很多人覺得，
煮菜=很累，很辛苦，很麻煩…
我想要改正這個方程式。煮菜=好玩，快樂，幸福!!
當然有時候我也覺得煮菜很累，很麻煩。所以我知道怎
麼做比較輕鬆，好玩煮菜。
25年的廚師經驗+(初級的)中文+
電腦知識+料理撮影技術
= “手工” 網站『MASAの料理ABC』誕生！
我每次多說, 味道很重要，但是，最重要
是[您自己(煮菜的人)一定要享受煮菜的時間]
不管結果怎麼樣，不要太怕失敗..
您開心繼續做料理! 後來，技術越來越好!! 然後家人
發現，您煮的菜比餐廳吃的好很多!!
廚房是您的快樂園! 進去廚房煮泡麵加
一個雞蛋也是您做的[美味料理!!]
我只想要幫忙大家收到煮菜好玩, 很愉快的 Feeling!!
我儘量努力介紹大家想要知道的料理.
我們一起成長!! 一起享受做料理!!! (*⌒O⌒*) /～♪
MASA


[運營] MASAの料理ABC
[所属] muck'n ~culinary consultancy~
開發食譜, 攝影, 插畫, 推銷活動, 
網站推銷
[聯絡] bigway1688@gmail.com",TW,"食譜 料理 日本料理 美食 廚藝 料理影片 cooking ""Japanese food"" MASA","Food, Lifestyle_(sociology)",2024-02-04 12:30:20+00,f
UCnWCj9UofS6OxSK34xWvKCg,Roman and Sharon,@romanandsharon,2022-04-18 09:20:03.547275,https://yt3.ggpht.com/0tGk-aFvKuaMK9hoJ0AwB0lRdm92o4wEqvIwVpuHmgtSMp1Bx0W0Mu6fHw52s6jYCtz6T9Txqg=s800-c-k-c0x00ffffff-no-rj,"Roman & Sharon
SUBSCRIBE FOR A HUG!

Free gift on our website - romanandsharon.com
Business: lily@romanandsharon.com
",TW,"shorts ""youtube shorts"" 異國戀 外國人 台灣 台灣情侶 ""mixed culture relationship"" couple Taiwan 外國人看台灣 跨國戀 taiwan ""shorts video"" ""shorts youtube"" ""shorts funny"" ""shorts music"" 台灣女人 台灣女朋友 台灣女歌手 台灣女孩 ""funny video"" ""fun video"" interesting 好笑 非常有趣 有趣的視頻 笑死 有趣的 短視頻 漂亮的女孩 台灣美女 好姑娘 漂亮的學生 台灣人 台灣搞笑視頻 台灣的外國人 俄羅斯人 ""funny things"" 異國戀情 異國戀情侶 ""異國戀 見面"" ""best shorts""","Lifestyle_(sociology), Entertainment",2024-02-04 12:30:20+00,f
UCXpxKdZAiyUEaTkoCPpEZzg,葉式特工Yes Ranger,@yekon1,2011-09-26 16:24:08,https://yt3.ggpht.com/NYjlTxiJbTZ74BK3AJmRqUwDTvTXU9B-JexB07p0qQkOPIRk3UO7aaZWftY098nQXlwesLxrwA=s800-c-k-c0x00ffffff-no-rj,"台灣唯一劇情特效短片YouTuber
我就想看看 沒有網紅魅力 只靠努力 認真 走一條最辛苦的路 能走多遠。

成員 - 
葉公 (導演編劇)
哲修 (特效合成)
敬淵 (美術道具) 
喬翔 (攝影調光)
樺樺 (製片)
怡姍 (3D特效)

冗員 -
派派 (冰箱管理員)
吉祥&千歲 (吉祥物 老鼠殺手 蟑螂毀滅者)

| 里程碑 |  2020年 全世界電玩遊戲觀看最高的電玩類影片

電腦硬體－
AMD threadripper 3990x / Kingston 金士頓 記憶體 / GIGABYTE WRX80 /
Darkflash Dlx 21(機殼) / 喜天電腦
",TW,,"Video_game_culture, Entertainment, Lifestyle_(sociology)",2024-02-04 12:30:20+00,f
UCFUtqTcgJgRnmZ3tMU6P74Q,Namewee,@namewee,2006-09-29 01:23:14,https://yt3.ggpht.com/C9x9DkjWeUtrajNFe74umx4XT4u5BtPi5cEK6KrwIyKh7xyUatZmAiwBnkTbm6efcH_EQSQwPqw=s800-c-k-c0x00ffffff-no-nd-rj,"
",TW,,"Entertainment, Music, Music_of_Asia",2024-02-04 12:30:20+00,f
UCtcaZ5FUqaNXGX6xhpiGPQA,蔡阿嘎Life,@tsaiagalife,2012-11-10 16:34:33,https://yt3.ggpht.com/ytc/AIf8zZQiKusArpd3MGL9grxRIou2tvOX0S-3TMDLSTXq_g=s800-c-k-c0x00ffffff-no-rj,"蔡阿嘎第二個YouTube頻道：分享幕後花絮、生活隨拍小影片！
(合作洽談聯絡信箱：withgalovetaiwan@gmail.com)",TW,蔡阿嘎,"Food, Lifestyle_(sociology)",2024-02-04 12:30:20+00,f
UCI7ktPB6toqucpkkCiolwLg,Pan Piano,@panpianoatelier,2016-07-27 15:21:51,https://yt3.ggpht.com/ytc/AIf8zZRbWZ7wk76HIDNfptmQ1vjJPc7D89O31M4l0LrqBA=s800-c-k-c0x00ffffff-no-rj,"台湾のピアニストです！ 
アニソンを弾いてます～ 
良かったら、チャンネル登録お願いします（ベルマークもクリックしましょう！）
宜しくお願いいたします！

Welcome to my channel~~
I make piano covers of  Anime/GAME!
Please subscribe to my channel and click the bell icon to get new video updates!!
I am so glad to see new SUB :)

歡迎來到Pan Piano 小P的音樂工房！
這邊不定期分享動漫鋼琴演奏！歡迎訂閱與按下旁邊的鈴鐺：）
",TW,"鋼琴 演奏 ACG 動畫 漫畫 piano ピアノ アニメ 弾いてみた コスプレ パンピアノ ""pan piano""","Classical_music, Lifestyle_(sociology), Music_of_Asia, Music",2024-02-04 12:30:20+00,f
UCPcF3KTqhD67ADkukx_OeDg,滾石唱片 ROCK RECORDS,@rockrecordstaipei,2010-06-08 03:41:20,https://yt3.ggpht.com/fORP4KAI6zJ1It7hxBJTQ4GGqJUBW69v2n6TfdBMfPVd0bXWtwjMeWoZ2B7rJIXgO9h8UsCdIQ=s800-c-k-c0x00ffffff-no-rj,"這是一首你每天都忍不住要聽的歌,歌名就叫滾石。

Welcome to Rock Records Co., Ltd. Official YouTube Channel !!",TW,"滾石唱片 ""华语 金曲"" ""华语 歌单"" ""华语 串烧"" ""華語 金曲"" ""華語 歌單"" ""華語 串燒"" ""台湾 歌单"" ""台北 歌單"" ""台灣 歌單"" ""滾石 唱片"" ""普通話 歌"" ""懷舊 金曲"" 經典老歌 ""經典 老歌"" ""聽團 歌單"" ""台北 歌单"" ""怀旧 金曲"" ""普通话 歌"" ""滚石 唱片"" ""听团 歌单"" 听团歌单 ""中文歌曲排行榜2021 mv"" ""2021 新歌"" ""80 金曲"" ""90 金曲"" ""aisan music"" ""c pop playlist"" ""Chinese love story song"" ""Chinese popular song"" ""Chinese playlist"" ""Chinese music video love story"" ""mandarin playlist"" ""mandarin pop""","Rock_music, Pop_music, Music_of_Asia, Music, Hip_hop_music",2024-02-04 12:30:20+00,f
UC5l1Yto5oOIgRXlI4p4VKbw,中天電視,@ctitv,2007-01-17 05:34:19,https://yt3.ggpht.com/7TX5a0vWm4atw3f_uPwN651m0VOmnBSfP0sLEZb4sEha-laWJC2XpeAIVbUqPTum0NRAwuAn=s800-c-k-c0x00ffffff-no-rj,"🔹中天數位媒體，全球華人新勢力🔹

📢📢📢支持老Z，請加入老Z調查線會員   
📢支持監督的力量，請加入中天電視會員
📢支持琴教官，請加入頭條開講會員
📢支持優質國際新聞，請加入全球大視野會員

💵直接贊助中天👉彰化銀行台北分行:009-5012帳號:50128688988600戶名:中天電視股份有限公司 
🏧ATM：CHANG HWA COMMERCIAL BANK TAIPEI BRANCH(CCBCTWTP501) 
🏦A/C NO:50128688988600 A/C NAME:CTI TELEVISION INCORPORATION


",TW,中天 康熙 中時 旺旺 電視 新聞 ctitv 中天新聞,"Society, Politics",2024-02-04 12:30:20+00,f
UCSKNqZgZwPlKrKobdfcPGPg,凱文羊,@mythekevin,2012-05-16 13:33:08,https://yt3.ggpht.com/gLZNm5TMQhxLn3VhrTZ1djCyjXU8duiWhUgE7cHkapFANHYCyqwsF5PFI8fnYa2yaJ1ZIuIUKQ=s800-c-k-c0x00ffffff-no-rj,"用我的生活 鼓勵你👍🏼

🥰
",,,"Tourism, Lifestyle_(sociology)",2024-02-05 13:16:04.527813+00,f
UCrLO-yoAu4ZTzRSdmWqS53A,碰碰狐 鯊魚寶寶 (兒童兒歌・故事),@pinkfong_tw,2014-03-06 11:08:26,https://yt3.ggpht.com/123HnHZwNakHXUIRB8Uz3je8ZGwP4RUSFOfD5eE7OrQSIXZ-SJMf6-VxX6k2_jo6pdUe73BOMZs=s800-c-k-c0x00ffffff-no-rj,"全球熱門兒童教育品牌【碰碰狐】YouTube官方頻道！
兒童教育專家熱情推薦、可靠的兒歌與童話！
全球四千萬小朋友的最愛！
畫面清晰、語音純正、寓教娛樂。
在愉悅的氛圍中學習知識、激發孩子們的學習興趣！


★ 官方網站: https://www.thepinkfongcompany.com/ 
★ 官方Facebook：https://www.facebook.com/pinkfong.tw/
★ 官方Instagram: https://www.instagram.com/pinkfong.official
★ 官方TikTok: https://www.tiktok.com/@pinkfong_official 
★ 官網微信：http://link.cleve.re/3197/
★碰碰狐微博：https://weibo.com/pinkfongbaby

若事先未取得碰碰狐同意的情況下，
將包括並不限於碰碰狐的兒歌、動畫等其他所有的知識產權（以下統稱為“內容”），
以營利性和非營利性目的進行使用的情況均視為違法行為。 
碰碰狐之內容使用的相關諮詢，煩請您透過以下“商務合作諮詢”的連結進行。 
★商務合作諮詢：https://bizpinkfong.zendesk.com/hc/en-us
",TW,碰碰狐 PINKFONG pengpenghu pinkfong babyshark 鲨鱼宝宝 鯊魚寶寶 兒童 幼兒 兒歌 童謠 故事 兒童故事 童話故事 英語 音樂 幼兒教育 動畫 卡通 漫畫 寶寶 經典 動漫 唱歌 兒童唱歌與舞蹈 兒歌歌詞 小兒歌 兒歌英文 英文兒歌 兒歌童謠 幼儿 儿歌 童谣 儿童故事 童话故事 英语 音乐 幼儿教育 动画 漫画 宝宝 经典 动漫 儿童唱歌与舞蹈 儿歌歌词 小儿歌 儿歌英文 英文儿歌 儿歌童谣 儿童儿歌 ㄆㄥ 多奇 動畫 小朋友 鯊魚歌 恐龍,"Music, Entertainment, Film",2024-02-04 12:30:20+00,f
