channel_id,view_count,sub_count,video_count,created_at,created_date
UCGbshtvS9t-8CW11W7TooQg,2077262860,6660000,9455,2024-02-04 12:34:49+00,2024-02-04
UCvw1LiGdyulhnGksJlGWB6g,3259941884,9550000,478,2024-02-04 12:34:49+00,2024-02-04
UCHm9SiOLG8UoBT8STWY5mVA,1288711095,5830000,870,2024-02-04 12:34:49+00,2024-02-04
UCnWCj9UofS6OxSK34xWvKCg,3962578132,5790000,2373,2024-02-04 12:34:49+00,2024-02-04
UCXpxKdZAiyUEaTkoCPpEZzg,2135353789,5170000,299,2024-02-04 12:34:49+00,2024-02-04
UCFUtqTcgJgRnmZ3tMU6P74Q,1704640449,3600000,1102,2024-02-04 12:34:49+00,2024-02-04
UC6FcYHEm7SO1jpu5TKjNXEA,1152286622,3570000,338,2024-02-04 12:34:49+00,2024-02-04
UCI7ktPB6toqucpkkCiolwLg,607815892,3530000,721,2024-02-04 12:34:49+00,2024-02-04
UCPcF3KTqhD67ADkukx_OeDg,5758562790,3520000,5662,2024-02-04 12:34:49+00,2024-02-04
UCFsXFlbI8FpNAVQ_RL3I4bw,1374596941,3500000,1206,2024-02-04 12:34:49+00,2024-02-04
UC5l1Yto5oOIgRXlI4p4VKbw,3286560597,3280000,115571,2024-02-04 12:34:49+00,2024-02-04
UCdEpz2A4DzV__4C1x2quKLw,114617206,1410000,489,2024-02-04 12:34:49+00,2024-02-04
UCrLO-yoAu4ZTzRSdmWqS53A,1350330621,3140000,2002,2024-02-04 12:34:49+00,2024-02-04
UCnJEWsS5agXCkqIpyHC9Grg,2247167535,3130000,5102,2024-02-04 12:34:49+00,2024-02-04
UCKQVSNdzGBJSXaUmS4TOWww,4629898555,3110000,34675,2024-02-04 12:34:49+00,2024-02-04
UCX9VHpN62jkqCCntHxymPOA,4038331422,3030000,27376,2024-02-04 12:34:49+00,2024-02-04
UCttafJi4SCirZhlxsxISbyA,1938586057,3030000,1821,2024-02-04 12:34:49+00,2024-02-04
UC8CU5nVhCQIdAGrFFp4loOQ,4171577284,2940000,27,2024-02-04 12:34:49+00,2024-02-04
UCeo3JwE3HezUWFdVcehQk9Q,359584247,2770000,701,2024-02-04 12:34:49+00,2024-02-04
UC7ovu6a8ydIbDy0fAKmoZ9A,3993150311,2750000,2203,2024-02-04 12:34:49+00,2024-02-04
UC5nwNW4KdC0SzrhF9BXEYOQ,5760386591,2580000,431021,2024-02-04 12:34:49+00,2024-02-04
UCPRWWKG0VkBA0Pqa4Jr5j0Q,1032432696,2570000,2819,2024-02-04 12:34:49+00,2024-02-04
UCAYrMNl92jw6cpjdpBP8JyA,371030186,2550000,564,2024-02-04 12:34:49+00,2024-02-04
UCgDbdS9sm90CG771uznT8wg,875193348,1420000,16129,2024-02-04 12:34:49+00,2024-02-04
