video_id,view_count,like_count,comment_count,created_date,created_at
p9g3G_w8J9w,152323,4581,734,2024-02-06,2024-02-06 13:06:07.620344+00
3rO0voiGkKQ,113060,5027,790,2024-02-06,2024-02-06 13:06:07.620344+00
VYV8Lssp4HY,151756,4548,270,2024-02-06,2024-02-06 13:06:07.620344+00
hUcWLhLCBPk,222093,5636,222,2024-02-06,2024-02-06 13:06:07.620344+00
32kCmqZw2cs,451053,14453,946,2024-02-06,2024-02-06 13:06:07.620344+00
0mCHoDWOVic,308942,9063,471,2024-02-06,2024-02-06 13:06:07.620344+00
JBZ006zjDtc,261827,6001,204,2024-02-06,2024-02-06 13:06:07.620344+00
XRjv-8kEF1c,15544,981,52,2024-02-06,2024-02-06 13:06:07.620344+00
puZxv2so_vE,227208,4763,406,2024-02-06,2024-02-06 13:06:07.620344+00
faLxbjMw0DE,143499,2632,110,2024-02-06,2024-02-06 13:06:07.620344+00
5l2qqHXhdnU,178277,3792,156,2024-02-06,2024-02-06 13:06:07.620344+00
FakJq-g30dU,164605,3025,109,2024-02-06,2024-02-06 13:06:07.620344+00
OvUxwlnJrkc,81560,4607,2928,2024-02-06,2024-02-06 13:06:07.620344+00
32PyQ_AasBU,529895,15117,882,2024-02-06,2024-02-06 13:06:07.620344+00
PUMjDoaXrzU,195060,4506,153,2024-02-06,2024-02-06 13:06:07.620344+00
iGtkwgr4gHo,280737,2077,436,2024-02-06,2024-02-06 13:06:07.620344+00
ap8HT6-rejw,535320,12123,337,2024-02-06,2024-02-06 13:06:07.620344+00
sanhOJlUWyc,22014,695,26,2024-02-06,2024-02-06 13:06:07.620344+00
yGIxY39Fd44,149632,6315,106,2024-02-06,2024-02-06 13:06:07.620344+00
z0ejJmX9Vs8,174328,7788,171,2024-02-06,2024-02-06 13:06:07.620344+00
cUPKZbZub10,265726,15014,141,2024-02-06,2024-02-06 13:06:07.620344+00
bA8290ju-cw,94001,4216,88,2024-02-06,2024-02-06 13:06:07.620344+00
iquCQ1wnC2U,23853,1597,50,2024-02-06,2024-02-06 13:06:07.620344+00
